年,性別,平均値等,年齢計,20_24歳,25_29歳,30_34歳,35_39歳,40_44歳,45_49歳,50_54歳,55_59歳,60_64歳,65_69歳
2014,男性,中位数,289.9,200.6,232.3,263.1,297.9,330.6,368.4,393.1,374.3,235.1,212
2014,男性,第３四分位数,392,223.4,264.5,311.3,363.1,413.2,480,513.8,495.3,317.2,289.7
2014,男性,第９十分位数,522.5,247.4,304.5,371.7,444,518.2,608,658.5,644.6,479.1,434.1
2014,男性,十分位分散係数,0.59,0.23,0.28,0.35,0.41,0.47,0.53,0.56,0.6,0.69,0.69
2014,男性,四分位分散係数,0.29,0.11,0.13,0.17,0.2,0.23,0.27,0.28,0.3,0.28,0.29
2014,女性,平均値,238,192.9,218.4,235.1,247.9,255.4,263.5,260.2,252.7,216,210.6
2014,女性,第１十分位数,145.7,146.3,154.3,154.4,152.8,150.3,146.9,143.4,140.5,128.8,125.3
2014,女性,第１四分位数,172.8,167.2,181.4,185.1,184.5,182.5,176.8,170.9,165.1,146.7,142.9
2014,女性,中位数,214.9,190.3,213.1,224.5,232.3,236.6,233.2,224.3,216.2,177.2,172.7
2014,女性,第３四分位数,272.9,215.9,247.4,268.9,287.1,304.5,314.9,310.8,304.1,239.1,226.6
2014,女性,第９十分位数,352.8,239.7,285,322.9,351.6,376.1,406.4,415.2,407.6,352.2,334.7
2014,女性,十分位分散係数,0.48,0.25,0.31,0.38,0.43,0.48,0.56,0.61,0.62,0.63,0.61
2014,女性,四分位分散係数,0.23,0.13,0.15,0.19,0.22,0.26,0.3,0.31,0.32,0.26,0.24
